Loaded 10000 rollouts
Loaded 10000 rollouts
Ignored short sequence #1705: len=81, num_frames=101
Ignored short sequence #1714: len=67, num_frames=101
Ignored short sequence #1718: len=95, num_frames=101
Ignored short sequence #1719: len=68, num_frames=101
Ignored short sequence #1720: len=89, num_frames=101
Ignored short sequence #1723: len=90, num_frames=101
Ignored short sequence #1727: len=65, num_frames=101
Ignored short sequence #1728: len=95, num_frames=101
Ignored short sequence #1735: len=69, num_frames=101
Ignored short sequence #1741: len=80, num_frames=101
Ignored short sequence #1742: len=89, num_frames=101
Ignored short sequence #1748: len=67, num_frames=101
Ignored short sequence #1751: len=98, num_frames=101
Ignored short sequence #1753: len=82, num_frames=101
Ignored short sequence #1754: len=98, num_frames=101
Ignored short sequence #1774: len=90, num_frames=101
Ignored short sequence #1790: len=78, num_frames=101
Ignored short sequence #1793: len=99, num_frames=101
Ignored short sequence #1794: len=99, num_frames=101
Ignored short sequence #1797: len=90, num_frames=101
Ignored short sequence #1803: len=64, num_frames=101
Ignored short sequence #1805: len=85, num_frames=101
Ignored short sequence #1806: len=56, num_frames=101
Ignored short sequence #1807: len=89, num_frames=101
Ignored short sequence #1811: len=49, num_frames=101
Ignored short sequence #1812: len=71, num_frames=101
Ignored short sequence #1813: len=67, num_frames=101
Ignored short sequence #1821: len=83, num_frames=101
Ignored short sequence #1822: len=97, num_frames=101
Ignored short sequence #1824: len=80, num_frames=101
Ignored short sequence #1831: len=73, num_frames=101
Ignored short sequence #1833: len=83, num_frames=101
Ignored short sequence #1835: len=80, num_frames=101
Ignored short sequence #1837: len=69, num_frames=101
Ignored short sequence #1840: len=89, num_frames=101
Ignored short sequence #1841: len=60, num_frames=101
Ignored short sequence #1848: len=96, num_frames=101
Ignored short sequence #1849: len=67, num_frames=101
Ignored short sequence #1853: len=90, num_frames=101
Ignored short sequence #1854: len=78, num_frames=101
Ignored short sequence #1857: len=92, num_frames=101
Ignored short sequence #1859: len=67, num_frames=101
Ignored short sequence #1863: len=89, num_frames=101
Ignored short sequence #1865: len=85, num_frames=101
Ignored short sequence #1868: len=97, num_frames=101
Ignored short sequence #1869: len=99, num_frames=101
Ignored short sequence #1870: len=67, num_frames=101
Ignored short sequence #1875: len=67, num_frames=101
Ignored short sequence #1876: len=64, num_frames=101
Ignored short sequence #1883: len=83, num_frames=101
Ignored short sequence #1891: len=69, num_frames=101
Ignored short sequence #1896: len=69, num_frames=101
Ignored short sequence #1900: len=81, num_frames=101
Ignored short sequence #1901: len=60, num_frames=101
Ignored short sequence #1904: len=78, num_frames=101
Ignored short sequence #1913: len=80, num_frames=101
Ignored short sequence #1915: len=73, num_frames=101
