stage,environment,seed,episode_index,dataset_episode,start_step,goal_step,published_success,retrained_success
screen,reacher,42,22,5132,29,53,1,1
screen,reacher,42,23,5264,117,141,1,1
screen,reacher,42,24,5454,39,63,1,1
screen,reacher,42,25,5545,139,163,1,1
screen,reacher,42,26,6316,106,130,1,1
screen,reacher,42,27,6438,98,122,1,1
screen,reacher,42,28,6545,94,118,0,1
screen,reacher,42,29,6779,32,56,1,1
screen,reacher,42,30,6973,89,113,1,1
screen,reacher,42,31,7005,34,58,1,0
screen,reacher,42,32,7174,110,134,1,1
screen,reacher,42,33,7357,64,88,1,1
screen,reacher,42,34,7580,147,171,1,1
screen,reacher,42,35,7611,41,65,1,1
screen,reacher,42,36,7739,60,84,1,1
screen,reacher,42,37,7783,146,170,0,1
screen,reacher,42,38,7815,98,122,1,1
screen,reacher,42,39,7860,85,109,1,1
screen,reacher,42,40,8227,89,113,1,1
screen,reacher,42,41,8276,44,68,1,1
screen,reacher,42,42,8397,58,82,1,1
screen,reacher,42,43,8582,148,172,1,1
screen,reacher,42,44,8585,133,157,0,0
screen,reacher,42,45,8878,143,167,1,1
screen,reacher,42,46,8931,34,58,1,1
screen,reacher,42,47,9267,89,113,1,1
screen,reacher,42,48,9706,167,191,0,1
screen,reacher,42,49,9756,1,25,1,1
screen,reacher,100,0,34,161,185,1,1
screen,reacher,100,1,429,88,112,1,1
screen,reacher,100,2,802,107,131,1,1
screen,reacher,100,3,1241,131,155,1,1
screen,reacher,100,4,1264,53,77,1,1
screen,reacher,100,5,1285,75,99,1,1
screen,reacher,100,6,1417,141,165,1,0
screen,reacher,100,7,1446,48,72,1,1
screen,reacher,100,8,1899,155,179,1,1
screen,reacher,100,9,2279,49,73,0,1
screen,reacher,100,10,2847,62,86,1,1
screen,reacher,100,11,2888,98,122,1,1
screen,reacher,100,12,3219,43,67,1,1
screen,reacher,100,13,3224,39,63,1,1
screen,reacher,100,14,3935,117,141,1,1
screen,reacher,100,15,4118,122,146,1,1
screen,reacher,100,16,4309,69,93,1,1
screen,reacher,100,17,4434,103,127,1,1
screen,reacher,100,18,4487,44,68,1,1
screen,reacher,100,19,4941,103,127,1,1
screen,reacher,100,20,5019,73,97,1,1
screen,reacher,100,21,5055,32,56,1,1
screen,reacher,100,22,5352,74,98,1,1
screen,reacher,100,23,5721,43,67,1,1
screen,reacher,100,24,5810,50,74,1,1
screen,reacher,100,25,5878,67,91,1,1
screen,reacher,100,26,5964,102,126,1,1
screen,reacher,100,27,5965,67,91,1,1
screen,reacher,100,28,5999,9,33,1,1
screen,reacher,100,29,6292,113,137,1,1
screen,reacher,100,30,6871,165,189,1,1
screen,reacher,100,31,6881,73,97,1,1
screen,reacher,100,32,7191,22,46,1,1
screen,reacher,100,33,7242,96,120,1,1
screen,reacher,100,34,7668,110,134,1,0
screen,reacher,100,35,7710,29,53,1,1
screen,reacher,100,36,7742,76,100,1,1
screen,reacher,100,37,7902,81,105,1,1
screen,reacher,100,38,8011,108,132,1,1
screen,reacher,100,39,8349,102,126,1,1
screen,reacher,100,40,8621,141,165,1,1
screen,reacher,100,41,8826,51,75,1,1
screen,reacher,100,42,9103,37,61,1,1
screen,reacher,100,43,9248,44,68,1,1
screen,reacher,100,44,9472,9,33,1,1
screen,reacher,100,45,9736,55,79,1,1
screen,reacher,100,46,9786,31,55,1,1
screen,reacher,100,47,9814,110,134,1,1
screen,reacher,100,48,9957,118,142,1,0
screen,reacher,100,49,9976,122,146,1,1
screen,pusht,0,0,60,79,103,1,1
screen,pusht,0,1,115,39,63,0,1
screen,pusht,0,2,167,8,32,1,1
screen,pusht,0,3,355,82,106,1,1
screen,pusht,0,4,512,12,36,1,1
screen,pusht,0,5,622,15,39,1,1
screen,pusht,0,6,696,18,42,1,1
screen,pusht,0,7,822,26,50,0,1
screen,pusht,0,8,1424,10,34,1,1
screen,pusht,0,9,1546,89,113,1,1
screen,pusht,0,10,1695,16,40,1,1
screen,pusht,0,11,2503,46,70,1,1
screen,pusht,0,12,3370,27,51,0,1
screen,pusht,0,13,3376,85,109,1,1
screen,pusht,0,14,4864,87,111,1,1
screen,pusht,0,15,5042,107,131,1,1
screen,pusht,0,16,5130,78,102,1,1
screen,pusht,0,17,5530,24,48,1,1
screen,pusht,0,18,5761,0,24,1,1
screen,pusht,0,19,7456,3,27,1,1
screen,pusht,0,20,7589,67,91,1,1
screen,pusht,0,21,8058,94,118,1,1
screen,pusht,0,22,9147,77,101,1,1
screen,pusht,0,23,9662,73,97,1,1
screen,pusht,0,24,9826,11,35,1,1
screen,pusht,0,25,10107,154,178,1,1
screen,pusht,0,26,10314,101,125,1,1
screen,pusht,0,27,10349,42,66,1,1
screen,pusht,0,28,10486,19,43,0,0
screen,pusht,0,29,10630,51,75,1,1
screen,pusht,0,30,11362,152,176,0,0
screen,pusht,0,31,11480,13,37,0,1
screen,pusht,0,32,11786,44,68,1,1
screen,pusht,0,33,11931,85,109,1,1
screen,pusht,0,34,12096,52,76,1,1
screen,pusht,0,35,12130,58,82,1,1
screen,pusht,0,36,12499,25,49,1,1
screen,pusht,0,37,12507,17,41,1,1
screen,pusht,0,38,13460,60,84,0,0
screen,pusht,0,39,13463,88,112,1,1
screen,pusht,0,40,14170,78,102,1,1
screen,pusht,0,41,15125,108,132,1,1
screen,pusht,0,42,15165,88,112,1,1
screen,pusht,0,43,15810,45,69,1,1
screen,pusht,0,44,15905,58,82,1,1
screen,pusht,0,45,16005,0,24,1,0
screen,pusht,0,46,16073,133,157,1,1
screen,pusht,0,47,16993,27,51,1,1
screen,pusht,0,48,17353,152,176,1,1
screen,pusht,0,49,17939,94,118,0,0
screen,pusht,1,0,424,22,46,1,1
screen,pusht,1,1,611,55,79,1,1
screen,pusht,1,2,716,23,47,1,1
screen,pusht,1,3,1195,69,93,1,1
screen,pusht,1,4,1635,103,127,1,1
screen,pusht,1,5,2306,100,124,1,1
screen,pusht,1,6,2495,17,41,0,0
screen,pusht,1,7,2506,56,80,1,1
screen,pusht,1,8,2734,16,40,1,1
screen,pusht,1,9,2929,148,172,1,1
screen,pusht,1,10,3864,107,131,1,1
screen,pusht,1,11,4742,5,29,1,0
screen,pusht,1,12,4859,102,126,1,1
screen,pusht,1,13,4942,98,122,0,1
screen,pusht,1,14,5082,90,114,1,1
screen,pusht,1,15,5169,100,124,1,1
screen,pusht,1,16,5664,25,49,1,1
screen,pusht,1,17,5856,73,97,0,1
screen,pusht,1,18,6147,68,92,1,1
screen,pusht,1,19,7253,23,47,1,1
screen,pusht,1,20,7586,82,106,1,1
screen,pusht,1,21,7724,52,76,1,1
screen,pusht,1,22,8069,34,58,0,1
screen,pusht,1,23,8540,9,33,1,1
screen,pusht,1,24,8559,21,45,0,1
screen,pusht,1,25,8939,85,109,1,1
screen,pusht,1,26,9233,67,91,1,1
screen,pusht,1,27,9555,95,119,1,1
screen,pusht,1,28,9632,47,71,1,1
screen,pusht,1,29,9838,68,92,1,1
screen,pusht,1,30,10265,106,130,1,1
screen,pusht,1,31,10432,98,122,1,1
screen,pusht,1,32,12047,21,45,1,1
screen,pusht,1,33,13911,15,39,1,1
screen,pusht,1,34,13937,81,105,1,1
screen,pusht,1,35,13976,126,150,1,1
screen,pusht,1,36,13997,34,58,0,1
screen,pusht,1,37,14561,9,33,1,1
screen,pusht,1,38,15190,27,51,1,1
screen,pusht,1,39,15282,5,29,0,0
screen,pusht,1,40,15437,43,67,1,1
screen,pusht,1,41,15681,152,176,1,1
screen,pusht,1,42,16099,154,178,1,1
screen,pusht,1,43,16137,35,59,1,1
screen,pusht,1,44,16731,7,31,1,1
screen,pusht,1,45,17626,75,99,1,1
screen,pusht,1,46,17654,75,99,1,1
screen,pusht,1,47,17817,103,127,1,1
