stage,environment,seed,role,episodes,success_rate,plans,steps,cem_cost_calls,dynamics_flops_total,plan_time_total_sec,wall_time_sec,manifest_file_sha256
final,pusht,91943,upstream_lewm_converted,100,86.0,4,100,6000,508789425600000,244.37454668898135,273.093382287072,d0fbeb12595e1ec915846930d7e5b3175d53ce089c805be05004058ccdb25dea
final,pusht,91943,sepopt_k192_20260922,100,93.0,4,100,6000,508789425600000,244.64568196982145,270.21498602908105,d0fbeb12595e1ec915846930d7e5b3175d53ce089c805be05004058ccdb25dea
final,tworoom,2002,upstream_lewm_converted,100,85.0,4,100,2000,169596475200000,83.38225190108642,96.01608072011732,b16d0a63cc7f37193a4c4948401f1c50ee21018fad66b1cd37d7f1137cbac7ea
final,tworoom,2002,sepopt_k192_20260922,100,96.0,4,100,2000,72172296000000,83.83729391987436,91.44138851203024,b16d0a63cc7f37193a4c4948401f1c50ee21018fad66b1cd37d7f1137cbac7ea
final,tworoom,71623,upstream_lewm_converted,100,85.0,4,100,2000,169596475200000,82.51873128092848,93.82375567988493,241f1ce09649d74e9c5443dadbd079570f897ed1f52b765cf91e868d190a2397
final,tworoom,71623,sepopt_k192_20260922,100,95.0,4,100,2000,72172296000000,82.86030632187612,90.16335440916009,241f1ce09649d74e9c5443dadbd079570f897ed1f52b765cf91e868d190a2397
final,tworoom,82715,upstream_lewm_converted,100,79.0,4,100,2000,169596475200000,81.91876784479246,93.40381460613571,621816e2d86f134a26e89c118d366cd7b32c7e4962b6bf485e18588f0a5e5aff
final,tworoom,82715,sepopt_k192_20260922,100,90.0,4,100,2000,72172296000000,82.76262251287699,90.57819138397463,621816e2d86f134a26e89c118d366cd7b32c7e4962b6bf485e18588f0a5e5aff
final,tworoom,86604,upstream_lewm_converted,100,86.0,4,100,2000,169596475200000,81.96105224872008,93.29353558481671,70328e5abbdbb7a1a2edbd9eb28db4ff9de18548d7761dd4cb60662473b29359
final,tworoom,86604,sepopt_k192_20260922,100,93.0,4,100,2000,72172296000000,82.8528712419793,90.68904957314953,70328e5abbdbb7a1a2edbd9eb28db4ff9de18548d7761dd4cb60662473b29359
final,tworoom,91943,upstream_lewm_converted,100,82.0,4,100,2000,169596475200000,83.01166293607093,94.40963347395882,b23ee8875d1688c612fc870685a0be2458c461016f0db997506e5df24c51d182
final,tworoom,91943,sepopt_k192_20260922,100,94.0,4,100,2000,72172296000000,84.06313572102226,91.739652069984,b23ee8875d1688c612fc870685a0be2458c461016f0db997506e5df24c51d182
